advertiser_type,rent_to_students,equipment,media,heating,security,windows,elevatot,parking,year_of_construction,building_material,address1,address2,area,Czynsz,Liczba_pokoi,Kaucja,Piętro,Rodzaj_zabudowy,Balcon,Stan_wykończenia,Dostępne_od,Obsługa_zdalna
"Typ ogłoszeniodawcy
prywatny","Wynajmę również studentom
brak informacji","Wyposażenie
brak informacji","Media
brak informacji","Ogrzewanie
brak informacji","Zabezpieczenia
brak informacji","Okna
drewniane","Winda
nie","Miejsce parkingowe
brak informacji","Rok budowy
2010","Materiał budynku
brak informacji","ul. gen. Tadeusza Pełczyńskiego, Górce, Bemowo, Warszawa, mazowieckie",,"Powierzchnia
75 m²","Czynsz
1 200 zł/miesiąc","Liczba pokoi
3","Kaucja
5 500 zł","Piętro
8/8","Rodzaj zabudowy
apartamentowiec","Balkon / ogród / taras
Zapytaj","Stan wykończenia
do zamieszkania","Dostępne od
Zapytaj","Obsługa zdalna
Zapytaj"
"Typ ogłoszeniodawcy
prywatny","Wynajmę również studentom
brak informacji","Wyposażenie
lodówka, meble, piekarnik, kuchenka, pralka","Media
brak informacji","Ogrzewanie
miejskie","Zabezpieczenia
drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon, monitoring / ochrona","Okna
plastikowe","Winda
nie","Miejsce parkingowe
garaż/miejsce parkingowe","Rok budowy
2008","Materiał budynku
cegła","Gołąbki, Ursus, Warszawa, mazowieckie",,"Powierzchnia
43 m²","Czynsz
700 zł/miesiąc","Liczba pokoi
2","Kaucja
3 000 zł","Piętro
1/3","Rodzaj zabudowy
blok","Balkon / ogród / taras
balkon","Stan wykończenia
do zamieszkania","Dostępne od
Zapytaj","Obsługa zdalna
Zapytaj"
"Typ ogłoszeniodawcy
prywatny","Wynajmę również studentom
brak informacji","Wyposażenie
zmywarka, lodówka, meble, piekarnik, kuchenka, telewizor, pralka","Media
telewizja kablowa, internet","Ogrzewanie
miejskie","Zabezpieczenia
drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon, monitoring / ochrona","Okna
brak informacji","Winda
tak","Miejsce parkingowe
garaż/miejsce parkingowe","Rok budowy
2017","Materiał budynku
brak informacji","ul. Lirowa, Szczęśliwice, Ochota, Warszawa, mazowieckie",,"Powierzchnia
42,5 m²","Czynsz
900 zł/miesiąc","Liczba pokoi
2","Kaucja
5 000 zł","Piętro
4/6","Rodzaj zabudowy
apartamentowiec","Balkon / ogród / taras
balkon","Stan wykończenia
do zamieszkania","Dostępne od
Zapytaj","Obsługa zdalna
Zapytaj"
"Typ ogłoszeniodawcy
prywatny","Wynajmę również studentom
brak informacji","Wyposażenie
zmywarka, lodówka, meble, piekarnik, kuchenka, pralka","Media
telewizja kablowa, internet","Ogrzewanie
miejskie","Zabezpieczenia
domofon / wideofon, monitoring / ochrona","Okna
plastikowe","Winda
tak","Miejsce parkingowe
garaż/miejsce parkingowe","Rok budowy
2023","Materiał budynku
brak informacji","ul. Kościeszów, Tarchomin, Białołęka, Warszawa, mazowieckie",,"Powierzchnia
60 m²","Czynsz
800 zł/miesiąc","Liczba pokoi
3","Kaucja
8 000 zł","Piętro
7/8","Rodzaj zabudowy
blok","Balkon / ogród / taras
balkon","Stan wykończenia
do zamieszkania","Dostępne od
Zapytaj","Obsługa zdalna
tak"
"Typ ogłoszeniodawcy
prywatny","Wynajmę również studentom
brak informacji","Wyposażenie
zmywarka, lodówka, meble, piekarnik, kuchenka, telewizor, pralka","Media
brak informacji","Ogrzewanie
miejskie","Zabezpieczenia
drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon, monitoring / ochrona","Okna
plastikowe","Winda
tak","Miejsce parkingowe
garaż/miejsce parkingowe","Rok budowy
2000","Materiał budynku
żelbet","Chomiczówka, Bielany, Warszawa, mazowieckie",,"Powierzchnia
36 m²","Czynsz
600 zł/miesiąc","Liczba pokoi
2","Kaucja
2 900 zł","Piętro
4/10","Rodzaj zabudowy
blok","Balkon / ogród / taras
Zapytaj","Stan wykończenia
do zamieszkania","Dostępne od
Zapytaj","Obsługa zdalna
Zapytaj"
"Typ ogłoszeniodawcy
biuro nieruchomości","Wynajmę również studentom
brak informacji","Wyposażenie
zmywarka, lodówka, meble, piekarnik, kuchenka, telewizor, pralka","Media
brak informacji","Ogrzewanie
brak informacji","Zabezpieczenia
domofon / wideofon","Okna
brak informacji","Winda
nie","Miejsce parkingowe
brak informacji","Rok budowy
brak informacji","Materiał budynku
brak informacji","ul. Jutrzenki 114, Salomea, Włochy, Warszawa, mazowieckie",ul. Jutrzenki 114,"Powierzchnia
36 m²","Czynsz
720 zł/miesiąc","Liczba pokoi
2","Kaucja
5 000 zł","Piętro
Zapytaj","Rodzaj zabudowy
Zapytaj","Balkon / ogród / taras
ogródek","Stan wykończenia
Zapytaj","Dostępne od
Zapytaj","Obsługa zdalna
Zapytaj"
"Typ ogłoszeniodawcy
biuro nieruchomości","Wynajmę również studentom
tak","Wyposażenie
lodówka, meble, piekarnik, kuchenka, pralka","Media
brak informacji","Ogrzewanie
miejskie","Zabezpieczenia
domofon / wideofon, monitoring / ochrona","Okna
plastikowe","Winda
tak","Miejsce parkingowe
brak informacji","Rok budowy
brak informacji","Materiał budynku
brak informacji","ul. Marymoncka, Wrzeciono, Bielany, Warszawa, mazowieckie",ul. Marymoncka,"Powierzchnia
38 m²","Czynsz
Zapytaj","Liczba pokoi
2","Kaucja
3 000 zł","Piętro
7/9","Rodzaj zabudowy
blok","Balkon / ogród / taras
balkon","Stan wykończenia
Zapytaj","Dostępne od
Zapytaj","Obsługa zdalna
tak"
"Typ ogłoszeniodawcy
prywatny","Wynajmę również studentom
brak informacji","Wyposażenie
lodówka, meble, kuchenka","Media
brak informacji","Ogrzewanie
brak informacji","Zabezpieczenia
brak informacji","Okna
brak informacji","Winda
nie","Miejsce parkingowe
brak informacji","Rok budowy
brak informacji","Materiał budynku
brak informacji","ul. Stefana Batorego, Stary Mokotów, Mokotów, Warszawa, mazowieckie",,"Powierzchnia
16 m²","Czynsz
400 zł/miesiąc","Liczba pokoi
1","Kaucja
3 000 zł","Piętro
Zapytaj","Rodzaj zabudowy
Zapytaj","Balkon / ogród / taras
Zapytaj","Stan wykończenia
Zapytaj","Dostępne od
Zapytaj","Obsługa zdalna
Zapytaj"
"Typ ogłoszeniodawcy
biuro nieruchomości","Wynajmę również studentom
brak informacji","Wyposażenie
zmywarka, lodówka, meble, piekarnik, kuchenka, pralka","Media
telewizja kablowa, internet","Ogrzewanie
miejskie","Zabezpieczenia
drzwi / okna antywłamaniowe, domofon / wideofon, monitoring / ochrona","Okna
drewniane","Winda
tak","Miejsce parkingowe
garaż/miejsce parkingowe","Rok budowy
2008","Materiał budynku
cegła","ul. Bobrowiecka, Sielce, Mokotów, Warszawa, mazowieckie",,"Powierzchnia
90 m²","Czynsz
1 000 zł/miesiąc","Liczba pokoi
3","Kaucja
7 500 zł","Piętro
5/6","Rodzaj zabudowy
blok","Balkon / ogród / taras
balkon","Stan wykończenia
do zamieszkania","Dostępne od
2024-06-14","Obsługa zdalna
tak"
"Typ ogłoszeniodawcy
deweloper","Wynajmę również studentom
brak informacji","Wyposażenie
zmywarka, lodówka, meble, piekarnik, kuchenka, telewizor","Media
brak informacji","Ogrzewanie
miejskie","Zabezpieczenia
brak informacji","Okna
drewniane","Winda
nie","Miejsce parkingowe
brak informacji","Rok budowy
1911","Materiał budynku
cegła","ul. Poznańska, Śródmieście Południowe, Śródmieście, Warszawa, mazowieckie",ul. Poznańskiej,"Powierzchnia
38,64 m²","Czynsz
600 zł/miesiąc","Liczba pokoi
2","Kaucja
Zapytaj","Piętro
4/4","Rodzaj zabudowy
kamienica","Balkon / ogród / taras
Zapytaj","Stan wykończenia
do zamieszkania","Dostępne od
Zapytaj","Obsługa zdalna
Zapytaj"
